url,来源名称,来源类型,发布部门,发布日期,适用地区,市场主题,关键词,权威等级,时间敏感类型,有效状态,是否原文,备注
https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,国家能源局,官方政策,国家能源局,,全国,电力市场;中长期;现货;辅助服务,电力市场;注册;经营主体,A,长期有效型,现行有效,是,国家能源局电力市场注册基本规则
https://www.gov.cn/zhengce/zhengceku/2022-01/30/content_5671296.htm,中国政府网,官方政策,国家发展改革委;国家能源局,,全国,电力市场;中长期;现货;辅助服务;省间交易,全国统一电力市场;统一交易规则,A,长期有效型,现行有效,是,加快建设全国统一电力市场体系指导意见
https://www.gov.cn/zhengce/202405/content_6951254.htm,中国政府网,官方政策,国家发展改革委,,全国,电力市场,电力市场运行基本规则;监管;交易,A,长期有效型,现行有效,是,电力市场运行基本规则
https://www.ndrc.gov.cn/xxgk/zcfb/tz/202604/t20260424_1404861.html,国家发展改革委,官方政策,国家发展改革委,,全国,电力市场;现货;省间交易,交易规则;现货;省间,A,长期有效型,现行有效,是,修订省间电力现货交易规则复函
https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260409_299361.html,国家能源局华中监管局,监管规则,国家能源局华中监管局,,华中区域,中长期;省间交易,中长期;省间;实施细则,A,长期有效型,现行有效,是,华中区域省间电力中长期市场实施细则
https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299623.html,国家能源局华中监管局,监管规则,国家能源局华中监管局,,湖北,中长期,中长期;实施细则,A,长期有效型,现行有效,是,湖北省电力中长期市场实施细则
https://sdb.nea.gov.cn/dtyw/tzgg/202601/t20260106_293691.html,国家能源局山东监管办公室,监管规则,国家能源局山东监管办公室,,山东,辅助服务;并网运行,辅助服务;并网运行;实施细则,A,长期有效型,现行有效,是,山东省电力并网运行与辅助服务管理实施细则修订稿
https://www.gzpec.cn/law/jygz/202506/t20250624_34712.html,广州电力交易中心,交易规则,广州电力交易中心,,南方区域,电力市场;中长期,电力市场;中长期;实施细则,A,长期有效型,现行有效,是,南方区域电力市场中长期电能量交易实施细则等5项实施细则
https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202504/t20250429_1397483.html,国家发展改革委-规范性文件,官方政策,国家发展改革委;国家能源局,,全国,辅助服务;电力市场,电力辅助服务市场基本规则;辅助服务;结算;市场主体,A,长期有效型,现行有效,是,国家发展改革委 国家能源局关于印发《电力辅助服务市场基本规则》的通知
https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299624.html,国家能源局华中监管局-通知公告,监管规则,国家能源局派出机构,,华中区域,中长期,中长期,B,中期参考型,现行有效,是,关于印发《重庆市电力中长期市场实施细则》的通知 2026-04-14
https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299625.html,国家能源局华中监管局-通知公告,监管规则,国家能源局派出机构,,华中区域,中长期,中长期,B,中期参考型,现行有效,是,关于印发《西藏自治区电力中长期市场实施细则》的通知 2026-04-14
https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299627.html,国家能源局华中监管局-通知公告,监管规则,国家能源局派出机构,,华中区域,中长期,中长期,B,中期参考型,现行有效,是,关于印发《江西省电力中长期市场实施细则》的通知 2026-04-14
https://sdb.nea.gov.cn/dtyw/tzgg/202603/t20260327_298703.html,国家能源局山东监管办公室-通知公告,监管规则,国家能源局派出机构,,山东,电力市场,电力市场,B,中期参考型,征求意见,是,关于公开征求《山东电力市场监管办法(征求意见稿)》等意见的通知 2026-03-27
https://sdb.nea.gov.cn/dtyw/tzgg/202603/t20260317_298055.html,国家能源局山东监管办公室-通知公告,监管规则,国家能源局派出机构,,山东,电力市场,电力市场,B,中期参考型,征求意见,是,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知 2026-03-17
https://fgw.sc.gov.cn/sfgw/qtwj/2025/9/30/7ba86d11a51442df97eb0ad3b14865c2.shtml,四川省发展和改革委员会-政策文件,官方政策,四川省发展和改革委员会,,四川,新能源,电价;新能源,A,长期有效型,现行有效,是,关于印发《四川省深化新能源上网电价市场化改革实施方案》的通知(川发改价格〔2025〕480号)
https://sdb.nea.gov.cn/dtyw/tzgg/202509/t20250930_288340.html,国家能源局山东监管办公室-通知公告,监管规则,国家能源局派出机构,,山东,辅助服务,辅助服务,B,中期参考型,征求意见,是,关于公开征求《山东省电力并网运行管理实施细则(征求意见稿)》《山东省电力辅助服务管理实施... 2025-09-30
https://sdb.nea.gov.cn/dtyw/tzgg/202507/t20250729_284995.html,国家能源局山东监管办公室-通知公告,监管规则,国家能源局派出机构,,山东,电力市场,电力市场,B,中期参考型,征求意见,是,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知 2025-07-29
https://sdb.nea.gov.cn/dtyw/tzgg/202506/t20250624_283284.html,国家能源局山东监管办公室-通知公告,监管规则,国家能源局派出机构,,山东,新能源,新能源,B,中期参考型,现行有效,是,关于征求《山东省新能源和新型并网主体涉网安全能力提升工作方案》意见的函 2025-06-24
https://www.gzpec.cn/law/jygz/202505/t20250516_34495.html,广州电力交易中心-交易规则,交易规则,广州电力交易中心,,南方区域,电力市场,电力市场,B,中期参考型,现行有效,是,电力市场信息披露基本规则（国能发监管〔2024〕9号）
https://www.gzpec.cn/law/jygz/202505/t20250516_34492.html,广州电力交易中心-交易规则,交易规则,广州电力交易中心,,南方区域,电力市场,电力市场,B,中期参考型,现行有效,是,海南电力市场规则
https://www.gzpec.cn/law/jygz/202505/t20250516_34491.html,广州电力交易中心-交易规则,交易规则,广州电力交易中心,,南方区域,电力市场,电力市场,B,中期参考型,现行有效,是,广西电力市场规则
https://www.gzpec.cn/law/jygz/202505/t20250516_34490.html,广州电力交易中心-交易规则,交易规则,广州电力交易中心,,南方区域,电力市场,电力市场,B,中期参考型,现行有效,是,广东电力市场规则
https://fzgg.tj.gov.cn/zwgk_47325/zcfg_47338/zcwjx/fgwj/202510/W020251022356486089649.docx,天津市发展和改革委员会-政策法规,官方政策,天津市发展和改革委员会,,天津,新能源,电价;新能源,A,长期有效型,现行有效,是,天津市深化新能源上网电价市场化改革实施方案.docx
https://www.gzpec.cn/law/jygz/202504/t20250424_34448.html,广州电力交易中心-交易规则,交易规则,广州电力交易中心,,南方区域,辅助服务,辅助服务,B,中期参考型,现行有效,是,发改能源规〔2025〕411号_国家发展改革委 国家能源局关于印发《电力辅助服务市场基本规则》的通知
http://fgw.sh.gov.cn/fgw_jggl/20260424/62667a4bb7c44726a46cbe4c60c38c55.html,上海市发展和改革委员会-政策文件,官方政策,上海市发展和改革委员会,,上海,电力市场,电价,A,长期有效型,现行有效,是,关于我市开展气电价格联动调整有关事项的通知
http://fgw.sh.gov.cn/fgw_jggl/20260226/9af29306008f42e39689c7490660e438.html,上海市发展和改革委员会-政策文件,官方政策,上海市发展和改革委员会,,上海,电力市场,电价,A,长期有效型,现行有效,是,关于我市开展气电价格联动调整有关事项的通知
https://www.ndrc.gov.cn/xxgk/zcfb/tz/202601/t20260130_1403524.html,国家发展改革委-政策通知,官方政策,国家发展改革委,,全国,容量电价,容量电价;电价,A,长期有效型,现行有效,是,关于完善发电侧容量电价机制的通知(发改价格〔2026〕114号)
https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202511/t20251127_1401964.html,国家发展改革委-规范性文件,官方政策,国家发展改革委,,全国,电力市场,电价,A,长期有效型,现行有效,是,关于印发输配电定价成本监审办法、省级电网输配电价定价办法、区域电网输电价格定价办法和跨省跨区专项工程输电价格定价办法的通知(发改价格规〔2025〕1490号)
https://www.gzpec.cn/law/jygz/202502/t20250214_34019.html,广州电力交易中心-交易规则,交易规则,广州电力交易中心,,南方区域,电力市场,电力市场,B,中期参考型,现行有效,是,关于印发南方区域电力市场配套实施细则的通知
https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202508/t20250806_1399686.html,国家发展改革委-规范性文件,官方政策,国家发展改革委,,全国,电力市场;计量结算,电力市场;计量结算;结算,A,长期有效型,现行有效,是,关于印发《电力市场计量结算基本规则》的通知(发改能源规〔2025〕976号)
https://www.gzpec.cn/law/jygz/202502/t20250214_34021.html,广州电力交易中心-交易规则,交易规则,广州电力交易中心,,南方区域,电力市场,电力市场,B,中期参考型,现行有效,是,云南电力市场规则
https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/bwqtwj/202603/t20260309_4552994.htm,北京市发展和改革委员会-政策文件,官方政策,北京市发展和改革委员会,,北京,新能源,新能源,A,长期有效型,现行有效,是,[现行有效] 北京市发展和改革委员会关于公开征集市政府固定资产投资支持新能源供热项目的通知
https://hzj.nea.gov.cn/dtyw/tzgg/202601/t20260126_294791.html,国家能源局华中监管局-通知公告,监管规则,国家能源局派出机构,,华中区域,中长期,中长期,B,中期参考型,征求意见,是,关于公开征求《重庆电力中长期市场实施细则（征求意见稿）》意见的通知 2026-01-26
