切片编号,资料编号,切片序号,文件标题,发布机构,采集来源机构,发布日期,文号,适用地区,市场主题,来源类型,权威等级,有效状态,时间权重等级,检索权重,切片类型,章节标题,正文片段,字符数,原文链接,本地文本路径,向量入库状态
CHUNK-AUTO-20260424-2ABE953CDD-0001-4357A268,AUTO-20260424-2ABE953CDD,1,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,国家能源局关于印发《电力市场注册基本规则》的通知,"国家能源局关于印发《电力市场注册基本规则》的通知-国家能源局网站
> 正文
目录项的基本信息
公开事项名称:
国家能源局关于印发《电力市场注册基本规则》的通知
索引号:
000019705/2024-00241
国家能源局
制发日期:
2024-09-13
电力,市场,主体,经营,注册,交易,条件,材料,执行,机构
国家能源局关于印发",168,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0002-D093D36D,AUTO-20260424-2ABE953CDD,2,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,《电力市场注册基本规则》的通知,各省（自治区、直辖市）能源局，有关省（自治区、直辖市）及新疆生产建设兵团发展改革委，天津市、辽宁省、上海市、重庆市、四川省、甘肃省经信委（工信委、工信厅），各派出机构，国家电网有限公司、中国南方电网有限责任公司、中国华能集团有限公司、中国大唐集团有限公司、中国华电集团有限公司、国家能源投资集团有限责任公司、国家电力投资集团有限公司、中国长江三峡集团有限公司、国家开发投资集团有限公司、中国核工业集团有限公司、中国广核集团有限公司、华润（集团）有限公司、内蒙古电力（集团）有限责任公司，北京、广州电力交易中心，各相关发电企业、电力交易中心：,270,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0003-EDDE87A3,AUTO-20260424-2ABE953CDD,3,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,《电力市场注册基本规则》的通知,"为贯彻落实党中央、国务院进一步深化电力体制改革，加快建设全国统一大市场的有关精神，建立健全全国统一电力市场“1+N”基础规则体系，进一步规范市场经营主体注册管理水平，我们组织制定了《电力市场注册基本规则》。现印发给你们，请遵照执行。
2024年9月13日",127,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0004-9A858D14,AUTO-20260424-2ABE953CDD,4,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,第一条,"电力市场注册基本规则
第一章 总则
第一条
为贯彻落实党中央、国务院进一步深化电力体制改革、加快建设全国统一大市场的有关精神，统一电力市场注册机制，加强和规范电力市场注册工作，维护电力市场秩序和各类经营主体合法权益，根据《中共中央 国务院关于进一步深化电力体制改革的若干意见》《国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见》（发改体改〔2022〕118号）《电力市场运行基本规则》（中华人民共和国国家发展和改革委员会2024年第20号令）等文件，结合工作实际，制定本规则。",248,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0005-FD5EF72A,AUTO-20260424-2ABE953CDD,5,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,第三条,"第二条
本规则所称电力市场包含电力中长期、现货、辅助服务市场等。
第三条
本规则所称的经营主体包括参与电力市场交易的发电企业、售电公司、电力用户和新型经营主体（含新型储能企业、虚拟电厂、智能微电网等）。",101,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0006-B0EC0814,AUTO-20260424-2ABE953CDD,6,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,（一）规范入市。拟参与电力市场交易的经营主体应在电力交易机构办理市场注册，对注册业务信息以及相关支撑性材料的真实性、准确性、完整性负责。,"第四条
电力市场注册应遵循以下原则：
（一）规范入市。拟参与电力市场交易的经营主体应在电力交易机构办理市场注册，对注册业务信息以及相关支撑性材料的真实性、准确性、完整性负责。",87,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0007-C466AC58,AUTO-20260424-2ABE953CDD,7,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（二）公开透明。电力交易机构公平公开受理各类市场注册业务，不得设置不合理和歧视性的条件以限制商品服务、要素资源自由流动，做到服务无差别，信息规范披露，接受公众监,（二）公开透明。电力交易机构公平公开受理各类市场注册业务，不得设置不合理和歧视性的条件以限制商品服务、要素资源自由流动，做到服务无差别，信息规范披露，接受公众监督。,82,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0008-760AA36A,AUTO-20260424-2ABE953CDD,8,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（三）全国统一。严格落实“全国一张清单”管理模式，严禁各部门自行发布具有市场准入性质的负面清单，严禁单独设置附加条件。经营主体市场注册业务流程、审验标准、受理期,（三）全国统一。严格落实“全国一张清单”管理模式，严禁各部门自行发布具有市场准入性质的负面清单，严禁单独设置附加条件。经营主体市场注册业务流程、审验标准、受理期限、公示要求应做到全国统一规范。,96,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0009-4FB3A993,AUTO-20260424-2ABE953CDD,9,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,正文,（四）信息共享。经营主体可自主选择电力交易机构进行办理，获取交易资格，无需重复注册。电力交易平台应实现互联互通，共享注册信息，实现“一地注册、各方共享”。,（四）信息共享。经营主体可自主选择电力交易机构进行办理，获取交易资格，无需重复注册。电力交易平台应实现互联互通，共享注册信息，实现“一地注册、各方共享”。,77,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
CHUNK-AUTO-20260424-2ABE953CDD-0010-DA269187,AUTO-20260424-2ABE953CDD,10,国家能源局关于印发《电力市场注册基本规则》的通知,国家能源局,国家能源局,2024-09-13,国能发监管规〔2024〕76号,全国,电力市场;中长期;现货;辅助服务,官方政策,A,现行有效,40,90,条款,第五条,"第五条
电力交易机构负责开展电力市场注册服务，建设并运维电力交易平台市场注册业务功能，依法依规披露市场注册业务的相关信息。实现与电力调度机构电力调度自动化系统及电网企业营销、新型电力负荷管理系统的市场注册所需信息交互，提升经营主体市场注册业务便捷性。",125,https://zfxxgk.nea.gov.cn/2024-09/13/c_1212399683.htm,03_处理后文本\2024-09-13_全国_国家能源局_国家能源局关于印发《电力市场注册基本规则》的通知.txt,待入库
