关系编号,新政策资料编号,新政策标题,新政策发布日期,旧政策资料编号,旧政策标题,旧政策发布日期,关联类型,匹配依据,证据文本,置信度,是否人工确认,备注
REL-0001,AUTO-20260502-B841DF8667,华中能源监管局关于公开征求《川渝藏省间电力互济交易实施细则（征求意见稿）》意见的通知,2026-04-30,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,规则名称：电力市场运行基本规则,省间电力余缺互济，支撑电力保供、可再生能源消纳和电力系统经济运行，依据《国务院办公厅关于完善全国统一电力市场体系的实施意见》（国发办〔 2026 〕 4 号）、《电力市场运行基本规则》（国家发展改革委令 2024 年第 20 号）、《电力现货市场基本规则（试行）》（发改能源规〔 2023 〕 1217 号）等有关政策文件 ， 华中能源监管局组,中,否,仅由新政策明文引用旧政策时生成
REL-0002,AUTO-20260502-B841DF8667,华中能源监管局关于公开征求《川渝藏省间电力互济交易实施细则（征求意见稿）》意见的通知,2026-04-30,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,规则名称：电力市场运行基本规则,省间电力余缺互济，支撑电力保供、可再生能源消纳和电力系统经济运行，依据《国务院办公厅关于完善全国统一电力市场体系的实施意见》（国发办〔 2026 〕 4 号）、《电力市场运行基本规则》（国家发展改革委令 2024 年第 20 号）、《电力现货市场基本规则（试行）》（发改能源规〔 2023 〕 1217 号）等有关政策文件 ， 华中能源监管局组,中,否,仅由新政策明文引用旧政策时生成
REL-0003,AUTO-20260427-9D436454D6,国家能源局华东监管局关于印发《长三角跨省电力中长期市场实施细则》的通知,2026-04-17,AUTO-20260427-AF700450D9,电力市场注册基本规则,2024-09-13,引用依据,规则名称：电力市场注册基本规则,6 页 OCR --- 事责任的企业、经法人单位授权的内部核算主体、个体工商户、 执行工商业电价或具有分布式电源的自然人等民事主体。 第十四条经营主体应当按照《电力市场注册基本规则》要 求，在电力交易平台办理市场注册、变更与注销，并进行实名认 证。各电力交易机构共享注册信息。 第十五条经营主体由所在省交易中心将注册信息推送至 京交三部或在北,中,否,仅由新政策明文引用旧政策时生成
REL-0004,AUTO-20260427-9D436454D6,国家能源局华东监管局关于印发《长三角跨省电力中长期市场实施细则》的通知,2026-04-17,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,2024-09-13,引用依据,规则名称：电力市场注册基本规则,6 页 OCR --- 事责任的企业、经法人单位授权的内部核算主体、个体工商户、 执行工商业电价或具有分布式电源的自然人等民事主体。 第十四条经营主体应当按照《电力市场注册基本规则》要 求，在电力交易平台办理市场注册、变更与注销，并进行实名认 证。各电力交易机构共享注册信息。 第十五条经营主体由所在省交易中心将注册信息推送至 京交三部或在北,中,否,仅由新政策明文引用旧政策时生成
REL-0005,AUTO-20260427-9D436454D6,国家能源局华东监管局关于印发《长三角跨省电力中长期市场实施细则》的通知,2026-04-17,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,规则名称：电力市场运行基本规则,一体化发展国家战略和全国统 一电力市场建设要求，规范长三角电力市场跨省中长期交易，依 法维护经营主体的合法权益，推进统一开放、竞争有序的电力市 场体系建设，根据《电力市场运行基本规则》（中华人民共和国 国家发展和改革委员会令2024年第20号）《国家发展改革委国 家能源局关于印发<电力中长期市场基本规则>的通知》（发改能 源规〔2025］16,中,否,仅由新政策明文引用旧政策时生成
REL-0006,AUTO-20260427-9D436454D6,国家能源局华东监管局关于印发《长三角跨省电力中长期市场实施细则》的通知,2026-04-17,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,规则名称：电力市场运行基本规则,一体化发展国家战略和全国统 一电力市场建设要求，规范长三角电力市场跨省中长期交易，依 法维护经营主体的合法权益，推进统一开放、竞争有序的电力市 场体系建设，根据《电力市场运行基本规则》（中华人民共和国 国家发展和改革委员会令2024年第20号）《国家发展改革委国 家能源局关于印发<电力中长期市场基本规则>的通知》（发改能 源规〔2025］16,中,否,仅由新政策明文引用旧政策时生成
REL-0007,AUTO-20260425-D49D5FABE6,关于印发《重庆市电力中长期市场实施细则》的通知,2026-04-14,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,规则名称：电力市场运行基本规则,电力用户，相关经营主体： 为贯彻落实加快建设全国统一电力市场要求，进一步深化重庆电力中长期市场建设，规范电力中长期交易行为，适应重庆电力市场高质量发展需要，依据《电力市场运行基本规则》（国家发展和改革委员会令 2024 年第 20 号）、《国家发展改革委 国家能源局关于印发 < 电力中长期市场基本规则 > 的通知》（发改能源规〔 2025 〕,中,否,仅由新政策明文引用旧政策时生成
REL-0008,AUTO-20260425-D49D5FABE6,关于印发《重庆市电力中长期市场实施细则》的通知,2026-04-14,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,规则名称：电力市场运行基本规则,电力用户，相关经营主体： 为贯彻落实加快建设全国统一电力市场要求，进一步深化重庆电力中长期市场建设，规范电力中长期交易行为，适应重庆电力市场高质量发展需要，依据《电力市场运行基本规则》（国家发展和改革委员会令 2024 年第 20 号）、《国家发展改革委 国家能源局关于印发 < 电力中长期市场基本规则 > 的通知》（发改能源规〔 2025 〕,中,否,仅由新政策明文引用旧政策时生成
REL-0009,AUTO-20260425-A74926FCBF,关于印发《江西省电力中长期市场实施细则》的通知,2026-04-14,AUTO-20260427-780DD684D9,电力市场运行基本规则,2024-04-25,引用依据,规则名称：电力市场运行基本规则,电力用户，相关经营主体： 为贯彻落实加快建设全国统一电力市场要求，进一步深化江西电力中长期市场建设，规范电力中长期交易行为，适应江西电力市场高质量发展需要，依据《电力市场运行基本规则》（国家发展和改革委员会令 2024 年第 20 号）、《国家发展改革委 国家能源局关于印发 < 电力中长期市场基本规则 > 的通知》（发改能源规〔 2025 〕,中,否,仅由新政策明文引用旧政策时生成
REL-0010,AUTO-20260425-A74926FCBF,关于印发《江西省电力中长期市场实施细则》的通知,2026-04-14,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,2024-04-18,引用依据,规则名称：电力市场运行基本规则,电力用户，相关经营主体： 为贯彻落实加快建设全国统一电力市场要求，进一步深化江西电力中长期市场建设，规范电力中长期交易行为，适应江西电力市场高质量发展需要，依据《电力市场运行基本规则》（国家发展和改革委员会令 2024 年第 20 号）、《国家发展改革委 国家能源局关于印发 < 电力中长期市场基本规则 > 的通知》（发改能源规〔 2025 〕,中,否,仅由新政策明文引用旧政策时生成
