抓取批次,候选编号,来源编号,来源层级,地区,来源栏目,发布部门,文件标题,发布日期,命中关键词,文档类型,质量分,入库状态,建议动作,原文链接,来源列表页
20260502_000013,CAND-B85D7DD04E45,SRC-N-002,国家级,全国,国家发展改革委-规范性文件,国家发展改革委,关于印发《省级电网输配电价定价办法》的通知(发改价格规〔2020〕101号),,输配电价;电网,HTML,64,新增候选,建议回填待采集,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202002/t20200205_1219961.html,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/index_4.html
20260502_000013,CAND-F19174E368BE,SRC-PR-004,省级监管,福建,国家能源局福建监管办公室-通知公告,国家能源局福建监管办公室,关于印发《福建省电力市场中长期交易规则》补充修订内容的通知 2021-03-19,2021-03-19,电力市场;交易规则;中长期,HTML,62,新增候选,建议回填待采集,https://fjb.nea.gov.cn/dtyw/tzgg/202312/t20231217_221253.html,https://fjb.nea.gov.cn/dtyw/tzgg/index_18.html
20260502_000013,CAND-0628D0B13F0E,SRC-PR-006,省级监管,贵州,国家能源局贵州监管办公室-通知公告,国家能源局贵州监管办公室,关于印发《贵州电力调峰辅助服务市场交易规则》的通知 2023-03-31,2023-03-31,交易规则;辅助服务;调峰,HTML,62,新增候选,建议回填待采集,https://gzb.nea.gov.cn/dtyw/tzgg/202308/t20230821_3907.html,https://gzb.nea.gov.cn/dtyw/tzgg/index_19.html
20260502_000013,CAND-32DD0BDC619E,SRC-R-006,区域监管,西北区域,国家能源局西北监管局-通知公告,国家能源局派出机构,国家能源局西北监管局关于做好2025年迎峰度夏能源保供工作的通知（西北监能市场[20... 2025-07-01,2025-07-01,迎峰度夏,HTML,62,新增候选,建议回填待采集,https://xbj.nea.gov.cn/dtyw/tzgg/202507/t20250701_283700.html,https://xbj.nea.gov.cn/dtyw/tzgg/index_5.html
20260502_000013,CAND-C1292B6683ED,SRC-R-006,区域监管,西北区域,国家能源局西北监管局-通知公告,国家能源局派出机构,国家能源局西北监管局关于做好2025年迎峰度冬能源保供工作的通知（西北监能市场〔2... 2025-11-20,2025-11-20,迎峰度冬,HTML,62,新增候选,建议回填待采集,https://xbj.nea.gov.cn/dtyw/tzgg/202511/t20251120_290811.html,https://xbj.nea.gov.cn/dtyw/tzgg/index_2.html
20260502_000013,CAND-EE25AD8C7911,SRC-N-002,国家级,全国,国家发展改革委-规范性文件,国家发展改革委,关于印发《区域电网输电价格定价办法》的通知(发改价格规〔2020〕100号),,电网,HTML,60,新增候选,建议回填待采集,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202002/t20200205_1219960.html,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/index_4.html
20260502_000013,CAND-67AB5EB68FE8,SRC-N-002,国家级,全国,国家发展改革委-规范性文件,国家发展改革委,关于核定2020～2022年省级电网输配电价的通知(发改价格规〔2020〕1508号),,输配电价;电网,HTML,60,新增候选,建议回填待采集,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202009/t20200930_1243682.html,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/index_4.html
20260502_000013,CAND-9C5CF5AFC73C,SRC-N-001,国家级,全国,国家发展改革委-政策通知,国家发展改革委,关于第三监管周期省级电网输配电价及有关事项的通知(发改价格〔2023〕526号),,输配电价;电网,HTML,60,新增候选,建议回填待采集,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202305/t20230515_1355747.html,https://www.ndrc.gov.cn/xxgk/zcfb/tz/index_8.html
20260502_000013,CAND-CA3E4C4B017A,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,关于印发《湖北电网非统调发电企业辅助服务管理实施细则（试行）》的通知 2012-12-14,2012-12-14,实施细则;辅助服务;电网,HTML,58,新增候选,建议回填待采集,https://hzj.nea.gov.cn/dtyw/tzgg/202310/t20231021_165494.html,https://hzj.nea.gov.cn/dtyw/tzgg/index_14.html
20260502_000013,CAND-2F839964D5AB,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,关于印发《湖北电网非统调发电企业辅助服务管理实施细则（试行）》的通知 2013-01-14,2013-01-14,实施细则;辅助服务;电网,HTML,58,新增候选,建议回填待采集,https://hzj.nea.gov.cn/dtyw/tzgg/202310/t20231021_165495.html,https://hzj.nea.gov.cn/dtyw/tzgg/index_14.html
